Src,Eqid,Version,Datetime,Lat,Lon,Magnitude,Depth,NST,Region
ak,10637058,2,"Friday, January 11, 2013 15:49:19 UTC",62.2294,-148.8292,1.2,14.40,18,"Central Alaska"
nc,71919871,2,"Friday, January 11, 2013 15:39:31 UTC",35.8310,-120.5978,1.1,11.10,36,"Central California"
ak,10637055,1,"Friday, January 11, 2013 15:39:05 UTC",63.2475,-150.8578,1.6,140.80,16,"Central Alaska"
ak,10637036,2,"Friday, January 11, 2013 14:59:54 UTC",62.5014,-151.3634,4.1,89.90,84,"Central Alaska"
nc,71919846,0,"Friday, January 11, 2013 14:45:03 UTC",38.8372,-122.7830,1.1,1.70,16,"Northern California"
ak,10637029,1,"Friday, January 11, 2013 14:39:27 UTC",61.6353,-149.7741,1.6,48.70,12,"Southern Alaska"
nc,71919836,0,"Friday, January 11, 2013 14:05:22 UTC",38.8400,-122.7827,1.1,1.70,11,"Northern California"
ci,15272233,0,"Friday, January 11, 2013 13:58:17 UTC",32.9867,-116.0808,2.0,59.90,17,"Southern California"
pr,13011004,0,"Friday, January 11, 2013 13:43:30 UTC",19.4482,-64.2563,3.0,86.00, 5,"Virgin Islands region"
ak,10637019,1,"Friday, January 11, 2013 13:26:06 UTC",62.1491,-145.3088,1.9,6.60,17,"Central Alaska"
ak,10637015,1,"Friday, January 11, 2013 13:07:47 UTC",61.5442,-150.4350,1.7,42.60, 8,"Southern Alaska"
ak,10637013,1,"Friday, January 11, 2013 13:01:40 UTC",62.0024,-149.1678,1.4,16.40, 8,"Central Alaska"
us,b000emaq,5,"Friday, January 11, 2013 12:38:22 UTC",-1.9486,68.1938,4.7,9.80,30,"Carlsberg Ridge"
nc,71919776,1,"Friday, January 11, 2013 12:38:16 UTC",38.8360,-122.8265,1.4,2.30,28,"Northern California"
ci,15272225,0,"Friday, January 11, 2013 12:25:34 UTC",33.4643,-116.4963,1.4,14.20,64,"Southern California"
ci,15272217,0,"Friday, January 11, 2013 12:24:22 UTC",33.3658,-116.1862,1.9,0.10,17,"Southern California"
ci,15272193,0,"Friday, January 11, 2013 12:24:10 UTC",33.4658,-116.4932,1.9,15.40,82,"Southern California"
ci,15272201,0,"Friday, January 11, 2013 12:24:07 UTC",33.4607,-116.4965,1.9,15.40,26,"Southern California"
ci,15272185,0,"Friday, January 11, 2013 12:23:33 UTC",33.4660,-116.4980,1.1,13.00,40,"Southern California"
ci,15272177,0,"Friday, January 11, 2013 12:04:51 UTC",33.2767,-116.7860,1.3,13.20,66,"Southern California"
ci,15272169,0,"Friday, January 11, 2013 11:39:53 UTC",33.2030,-116.4305,1.6,18.70,17,"Southern California"
nc,71919726,1,"Friday, January 11, 2013 11:29:13 UTC",38.8140,-122.7950,1.3,3.40,25,"Northern California"
nc,71919711,0,"Friday, January 11, 2013 11:19:51 UTC",39.7813,-123.5583,1.7,8.90, 6,"Northern California"
uw,60490892,2,"Friday, January 11, 2013 10:59:41 UTC",47.7673,-122.9883,1.0,46.00,21,"Olympic Peninsula, Washington"
ak,10636985,1,"Friday, January 11, 2013 10:59:09 UTC",63.8442,-149.1500,1.6,7.10,11,"Central Alaska"
nc,71919701,6,"Friday, January 11, 2013 10:46:02 UTC",39.7808,-123.5667,3.3,9.30,33,"Northern California"
ci,15272161,0,"Friday, January 11, 2013 10:38:09 UTC",34.5743,-116.2452,1.7,1.80,31,"Southern California"
ak,10636979,2,"Friday, January 11, 2013 10:30:25 UTC",55.5483,-135.1080,3.4,20.00,20,"off the coast of Southeastern Alaska"
ci,15272153,0,"Friday, January 11, 2013 10:09:54 UTC",34.0033,-116.7900,1.2,20.00,47,"Southern California"
